id;Kreis;ausl_m;ausl_w;ausl_insg
13006;Wismar, kreisfreie Stadt (bis 03.09.2011);-;-;-
13051;Bad Doberan, Landkreis (bis 03.09.2011);-;-;-
13052;Demmin, Landkreis (bis 03.09.2011);-;-;-
13053;Güstrow, Landkreis (bis 03.09.2011);-;-;-
13054;Ludwigslust, Landkreis (bis 03.09.2011);-;-;-
13055;Mecklenburg-Strelitz, Landkreis (bis 03.09.2011);-;-;-
13056;Müritz, Landkreis (bis 03.09.2011);-;-;-
13057;Nordvorpommern, Landkreis (bis 03.09.2011);-;-;-
13058;Nordwestmecklenburg, Landkreis (bis 03.09.2011);-;-;-
13059;Ostvorpommern, Landkreis (bis 03.09.2011);-;-;-
13060;Parchim, Landkreis (bis 03.09.2011);-;-;-
13061;Rügen, Landkreis (bis 03.09.2011);-;-;-
13062;Uecker-Randow, Landkreis (bis 03.09.2011);-;-;-
13071;Mecklenburgische Seenplatte, Landkreis;4865;3665;8530
13072;Rostock, Landkreis;4785;2990;7770
13073;Vorpommern-Rügen, Landkreis;5625;4410;10035
13074;Nordwestmecklenburg, Landkreis;3535;2650;6190
13075;Vorpommern-Greifswald, Landkreis;6155;5235;11390
13076;Ludwigslust-Parchim, Landkreis;7345;4835;12180
14161;Chemnitz, kreisfreie Stadt (bis 31.07.2008);-;-;-
14166;Plauen, kreisfreie Stadt (bis 31.07.2008);-;-;-
14167;Zwickau, kreisfreie Stadt (bis 31.07.2008);-;-;-
14171;Annaberg, Landkreis (bis 31.07.2008);-;-;-
14173;Chemnitzer Land, Landkreis (bis 31.07.2008);-;-;-
14177;Freiberg, Landkreis (bis 31.07.2008);-;-;-
14178;Vogtlandkreis (bis 31.07.2008);-;-;-
14181;Mittlerer Erzgebirgskreis (bis 31.07.2008);-;-;-
14182;Mittweida, Landkreis (bis 31.07.2008);-;-;-
14188;Stollberg, Landkreis (bis 31.07.2008);-;-;-
14191;Aue-Schwarzenberg, Landkreis (bis 31.07.2008);-;-;-
14193;Zwickauer Land, Landkreis (bis 31.07.2008);-;-;-
14262;Dresden, kreisfreie Stadt (bis 31.07.2008);-;-;-
14263;Görlitz, kreisfreie Stadt (bis 31.07.2008);-;-;-
14264;Hoyerswerda, kreisfreie Stadt (bis 31.07.2008);-;-;-
14272;Bautzen, Landkreis (bis 31.07.2008);-;-;-
14280;Meißen, Landkreis (bis 31.07.2008);-;-;-
14284;Niederschlesischer Oberlausitzkreis (b.31.07.2008);-;-;-
14285;Riesa-Großenhain, Landkreis (bis 31.07.2008);-;-;-
14286;Löbau-Zittau, Landkreis (bis 31.07.2008);-;-;-
14287;Sächsische Schweiz, Landkreis (bis 31.07.2008);-;-;-
14290;Weißeritzkreis (bis 31.07.2008);-;-;-
14292;Kamenz, Landkreis (bis 31.07.2008);-;-;-
14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-;-;-
14374;Delitzsch, Landkreis (bis 31.07.2008);-;-;-
14375;Döbeln, Landkreis (bis 31.07.2008);-;-;-
14379;Leipziger Land, Landkreis (bis 31.07.2008);-;-;-
14383;Muldentalkreis (bis 31.07.2008);-;-;-
14389;Torgau-Oschatz, Landkreis (bis 31.07.2008);-;-;-
14511;Chemnitz, kreisfreie Stadt;14350;9305;23655
14521;Erzgebirgskreis;3890;2765;6655
14522;Mittelsachsen, Landkreis;6475;4080;10555
14523;Vogtlandkreis;5340;3715;9055
14524;Zwickau, Landkreis;7205;4895;12100
14612;Dresden, kreisfreie Stadt;26835;20970;47810
14625;Bautzen, Landkreis;4310;2950;7260
14626;Görlitz, Landkreis;6545;5935;12475
14627;Meißen, Landkreis;4945;2990;7940
14628;Sächsische Schweiz-Osterzgebirge, Landkreis;3915;2855;6765
14713;Leipzig, kreisfreie Stadt;30945;24720;55665
14729;Leipzig, Landkreis;4340;2875;7220
14730;Nordsachsen, Landkreis;5250;3305;8560
15001;Dessau-Roßlau, kreisfreie Stadt;2765;2040;4805
15002;Halle (Saale), kreisfreie Stadt;14260;10535;24795
15003;Magdeburg, kreisfreie Stadt;14145;10185;24330
15081;Altmarkkreis Salzwedel;1810;1385;3195
15082;Anhalt-Bitterfeld, Landkreis;4195;2700;6895
15083;Börde, Landkreis;3510;2280;5790
15084;Burgenlandkreis;6930;3815;10745
15085;Harz, Landkreis;3835;2740;6575
15086;Jerichower Land, Landkreis;1935;1295;3235
15087;Mansfeld-Südharz, Landkreis;2365;1645;4010
15088;Saalekreis;4455;2720;7175
15089;Salzlandkreis;3890;2950;6840
15090;Stendal, Landkreis;1995;1530;3530
15091;Wittenberg, Landkreis;2875;1945;4820
15101;Dessau, kreisfreie Stadt (bis 30.06.2007);-;-;-
15151;Anhalt-Zerbst, Landkreis (bis 30.06.2007);-;-;-
15153;Bernburg, Landkreis (bis 30.06.2007);-;-;-
15154;Bitterfeld, Landkreis (bis 30.06.2007);-;-;-
15159;Köthen, Landkreis (bis 30.06.2007);-;-;-
15171;Wittenberg, Landkreis (bis 30.06.2007);-;-;-
15202;Halle (Saale), kreisfreie Stadt (bis 30.06.2007);-;-;-
15256;Burgenlandkreis (bis 30.06.2007);-;-;-
15260;Mansfelder Land, Landkreis (bis 30.06.2007);-;-;-
15261;Merseburg-Querfurt, Landkreis (bis 30.06.2007);-;-;-
15265;Saalkreis (bis 30.06.2007);-;-;-
15266;Sangerhausen, Landkreis (bis 30.06.2007);-;-;-
15268;Weißenfels, Landkreis (bis 30.06.2007);-;-;-
15303;Magdeburg, kreisfreie Stadt (bis 30.06.2007);-;-;-
15352;Aschersleben-Staßfurt, Landkreis (bis 30.06.2007);-;-;-
15355;Bördekreis (bis 30.06.2007);-;-;-
15357;Halberstadt, Landkreis (bis 30.06.2007);-;-;-
15358;Jerichower Land, Landkreis (bis 30.06.2007);-;-;-
15362;Ohrekreis (bis 30.06.2007);-;-;-
15363;Stendal, Landkreis (bis 30.06.2007);-;-;-
15364;Quedlinburg, Landkreis (bis 30.06.2007);-;-;-
15367;Schönebeck, Landkreis (bis 30.06.2007);-;-;-
15369;Wernigerode, Landkreis (bis 30.06.2007);-;-;-
15370;Altmarkkreis Salzwedel (bis 30.06.2007);-;-;-
16051;Erfurt, kreisfreie Stadt;10370;8420;18790
16052;Gera, kreisfreie Stadt;4025;2970;6995
16053;Jena, kreisfreie Stadt;6270;5380;11655
16054;Suhl, kreisfreie Stadt;1650;1210;2860
16055;Weimar, kreisfreie Stadt;3375;2815;6185
16056;Eisenach, kreisfreie Stadt;2175;1640;3820
16061;Eichsfeld, Landkreis;2140;1615;3755
16062;Nordhausen, Landkreis;2425;1545;3970
16063;Wartburgkreis;2200;1815;4015
16064;Unstrut-Hainich-Kreis;2315;1665;3980
16065;Kyffhäuserkreis;1235;935;2165
16066;Schmalkalden-Meiningen, Landkreis;2885;1965;4850
16067;Gotha, Landkreis;5470;3905;9375
16068;Sömmerda, Landkreis;1215;870;2085
16069;Hildburghausen, Landkreis;1360;965;2325
16070;Ilm-Kreis;4155;2665;6815
16071;Weimarer Land, Landkreis;2050;1465;3515
16072;Sonneberg, Landkreis;1765;1290;3060
16073;Saalfeld-Rudolstadt, Landkreis;1755;1290;3050
16074;Saale-Holzland-Kreis;1435;1010;2445
16075;Saale-Orla-Kreis;1905;1225;3130
16076;Greiz, Landkreis;1470;990;2460
16077;Altenburger Land, Landkreis;1955;1380;3335
______________;;;;
06611 Kassel, kreisfreie Stadt,;;;;
06633 Kassel, Landkreis:;;;;
Kassel documenta-Stadt und der Landkreis Kassel werden von;;;;
einer Ausländerbehörde bearbeitet und können daher nicht;;;;
getrennt ausgewiesen werden.;;;;
;;;;
10041 Regionalverband Saarbrücken, Landkreis,;;;;
10042 Merzig-Wadern, Landkreis,;;;;
10043 Neunkirchen, Landkreis,;;;;
10044 Saarlouis, Landkreis,;;;;
10045 Saarpfalz-Kreis,;;;;
10046 Sankt Wendel, Landkreis:;;;;
Für Saarland liegen keine Daten nach Kreisen vor, weil es im;;;;
Saarland nur eine einzige für alle Kreise zuständige;;;;
Ausländerbehörde gibt. Alle Fälle des Saarlandes sind im;;;;
"Kreis ""Saarlouis"" nachgewiesen, in dem diese Behörde ihren";;;;
Sitz hat.;;;;
;;;;
12052 Cottbus, kreisfreie Stadt,;;;;
12071 Spree-Neiße, Landkreis:;;;;
Cottbus und der Landkreis Spree-Neiße werden von einer;;;;
Ausländerbehörde bearbeitet und können daher nicht getrennt;;;;
ausgewiesen werden (ab Berichtsjahr 2013).;;;;
© Statistisches Bundesamt (Destatis), 2020 | Stand: 31.07.2020 / 18:18:42;;;;
