Forchheim,LK Forchheim,Forchheim LK,"Forchheim, Landkreis",DE248,Forchheim,,,,
Freising,LK Freising,Freising LK,"Freising, Landkreis",DE21B,Freising,,,,
Freudenstadt,LK Freudenstadt,Freudenstadt LK,"Freudenstadt, Landkreis",DE12C,Freudenstadt,,,,
Freyung-Grafenau,LK Freyung-Grafenau,Freyung-Grafenau LK,"Freyung-Grafenau, Landkreis",DE225,Freyung-Grafenau,,,,
Friesland,LK Friesland,Friesland LK,"Friesland, Landkreis",DE94A,Friesland (DE),,,,
Fulda,LK Fulda,Fulda LK,"Fulda, Landkreis",DE732,Fulda,,,,
Fürstenfeldbruck,LK Fürstenfeldbruck,Fürstenfeldbruck LK,"Fürstenfeldbruck, Landkreis",DE21C,Fürstenfeldbruck,,,,
Fürth,LK Fürth,Fürth LK,"Fürth, Landkreis",DE258,"Fürth, Landkreis",,,,
Garmisch-Partenkirchen,LK Garmisch-Partenkirchen,Garmisch-Partenkirchen LK,"Garmisch-Partenkirchen, Landkreis",DE21D,Garmisch-Partenkirchen,,,,
Germersheim,LK Germersheim,Germersheim LK,"Germersheim, Landkreis",DEB3E,Germersheim,,,,
Gießen,LK Gießen,Gießen LK,"Gießen, Landkreis",DE721,"Gießen, Landkreis",,,,
Gifhorn,LK Gifhorn,Gifhorn LK,"Gifhorn, Landkreis",DE914,Gifhorn,,,,
Göppingen,LK Göppingen,Göppingen LK,"Göppingen, Landkreis",DE114,Göppingen,,,,
Görlitz,LK Görlitz,Görlitz LK,"Görlitz, Landkreis",DED2D,Görlitz,,,,
Goslar,LK Goslar,Goslar LK,"Goslar, Landkreis",DE916,Goslar,,,,
Gotha,LK Gotha,Gotha LK,"Gotha, Landkreis",DEG0C,Gotha,,,,
Göttingen,LK Göttingen,Göttingen LK,"Göttingen, Landkreis",DE91C,Göttingen,,,,
Grafschaft Bentheim,LK Grafschaft Bentheim,Grafschaft Bentheim LK,"Grafschaft Bentheim, Landkreis",DE94B,Grafschaft Bentheim,,,,
Greiz,LK Greiz,Greiz LK,"Greiz, Landkreis",DEG0L,Greiz,,,,
Groß-Gerau,LK Groß-Gerau,Groß-Gerau LK,"Groß-Gerau, Landkreis",DE717,Groß-Gerau,,,,
Günzburg,LK Günzburg,Günzburg LK,"Günzburg, Landkreis",DE278,Günzburg,,,,
Gütersloh,LK Gütersloh,Gütersloh K,"Gütersloh, Landkreis",DEA42,Gütersloh,,,,
Hamburg,SK Hamburg,Hamburg KfS,"Hamburg, kreisfreie Stadt",DE600,Hamburg,,,,
Hameln-Pyrmont,LK Hameln-Pyrmont,Hameln-Pyrmont LK,"Hameln-Pyrmont, Landkreis",DE923,Hameln-Pyrmont,,,,
Harburg,LK Harburg,Harburg LK,"Harburg, Landkreis",DE933,Harburg,,,,
Harz,LK Harz,Harz LK,"Harz, Landkreis",DEE09,Harz,,,,
Haßberge,LK Haßberge,Haßberge LK,"Haßberge, Landkreis",DE267,Haßberge,,,,
Havelland,LK Havelland,Havelland LK,"Havelland, Landkreis",DE408,Havelland,,,,
Heidekreis,LK Heidekreis,Landkreis Heidekreis LK,Heidekreis,DE938,Heidekreis,,,,
Heidenheim,LK Heidenheim,Heidenheim LK,"Heidenheim, Landkreis",DE11C,Heidenheim,,,,
Heilbronn,LK Heilbronn,Heilbronn LK,"Heilbronn, Landkreis",DE118,"Heilbronn, Landkreis",,,,
Heinsberg,LK Heinsberg,Heinsberg K,"Heinsberg, Landkreis",DEA29,Heinsberg,,,,
Helmstedt,LK Helmstedt,Helmstedt LK,"Helmstedt, Landkreis",DE917,Helmstedt,,,,
Herford,LK Herford,Herford K,"Herford, Landkreis",DEA43,Herford,,,,
Hersfeld-Rotenburg,LK Hersfeld-Rotenburg,Hersfeld-Rotenburg LK,"Hersfeld-Rotenburg, Landkreis",DE733,Hersfeld-Rotenburg,,,,
Herzogtum Lauenburg,LK Herzogtum Lauenburg,Herzogtum Lauenburg K,"Herzogtum Lauenburg, Landkreis",DEF06,Herzogtum Lauenburg,,,,
Hildburghausen,LK Hildburghausen,Hildburghausen LK,"Hildburghausen, Landkreis",DEG0E,Hildburghausen,,,,
Hildesheim,LK Hildesheim,Hildesheim LK,"Hildesheim, Landkreis",DE925,Hildesheim,,,,
Hochsauerlandkreis,LK Hochsauerlandkreis,Hochsauerlandkreis K,Hochsauerlandkreis,DEA57,Hochsauerlandkreis,,,,
Hochtaunuskreis,LK Hochtaunuskreis,Hochtaunuskreis LK,Hochtaunuskreis,DE718,Hochtaunuskreis,,,,
Hof,LK Hof,Hof LK,"Hof, Landkreis",DE249,"Hof, Landkreis",,,,
Hohenlohekreis,LK Hohenlohekreis,Hohenlohekreis LK,Hohenlohekreis,DE119,Hohenlohekreis,,,,
Holzminden,LK Holzminden,Holzminden LK,"Holzminden, Landkreis",DE926,Holzminden,,,,
Höxter,LK Höxter,Höxter K,"Höxter, Landkreis",DEA44,Höxter,,,,
Ilm-Kreis,LK Ilm-Kreis,Ilm-Kreis LK,Ilm-Kreis,DEG0F,Ilm-Kreis,,,,
Jerichower Land,LK Jerichower Land,Jerichower Land LK,"Jerichower Land, Landkreis",DEE06,Jerichower Land,,,,
Kaiserslautern,LK Kaiserslautern,Kaiserslautern LK,"Kaiserslautern, Landkreis",DEB3F,"Kaiserslautern, Landkreis",,,,
Karlsruhe,LK Karlsruhe,Karlsruhe LK,"Karlsruhe, Landkreis",DE123,"Karlsruhe, Landkreis",,,,
Kassel,LK Kassel,Kassel LK,"Kassel, Landkreis",DE734,"Kassel, Landkreis",,,,
Kelheim,LK Kelheim,Kelheim LK,"Kelheim, Landkreis",DE226,Kelheim,,,,
Kitzingen,LK Kitzingen,Kitzingen LK,"Kitzingen, Landkreis",DE268,Kitzingen,,,,
Kleve,LK Kleve,Kleve K,"Kleve, Landkreis",DEA1B,Kleve,,,,
Konstanz,LK Konstanz,Konstanz LK,"Konstanz, Landkreis",DE138,Konstanz,,,,
Kronach,LK Kronach,Kronach LK,"Kronach, Landkreis",DE24A,Kronach,,,,
Kulmbach,LK Kulmbach,Kulmbach LK,"Kulmbach, Landkreis",DE24B,Kulmbach,,,,
Kusel,LK Kusel,Kusel LK,"Kusel, Landkreis",DEB3G,Kusel,,,,
Kyffhäuserkreis,LK Kyffhäuserkreis,Kyffhäuserkreis LK,Kyffhäuserkreis,DEG0A,Kyffhäuserkreis,,,,
Lahn-Dill-Kreis,LK Lahn-Dill-Kreis,Lahn-Dill-Kreis LK,Lahn-Dill-Kreis,DE722,Lahn-Dill-Kreis,,,DE80K,Landkreis Rostock
Landsberg am Lech,LK Landsberg a.Lech,Landsberg am Lech LK,"Landsberg am Lech, Landkreis",DE21E,Landsberg am Lech,,,,
Landshut,LK Landshut,Landshut LK,"Landshut, Landkreis",DE227,"Landshut, Landkreis",,,,
Leer,LK Leer,Leer LK,NA,DE94C,Leer,,,,
Leipzig,LK Leipzig,Leipzig LK,"Leipzig, Landkreis",DED52,Leipzig,,,,
Lichtenfels,LK Lichtenfels,Lichtenfels LK,"Lichtenfels, Landkreis",DE24C,Lichtenfels,,,,
Limburg-Weilburg,LK Limburg-Weilburg,Limburg-Weilburg LK,"Limburg-Weilburg, Landkreis",DE723,Limburg-Weilburg,,,,
Lindau (Bodensee),LK Lindau,Lindau (Bodensee) LK,"Lindau (Bodensee), Landkreis",DE27A,Lindau (Bodensee),,,,
Lippe,LK Lippe,Lippe K,"Lippe, Landkreis",DEA45,Lippe,,,,
Lörrach,LK Lörrach,Lörrach LK,"Lörrach, Landkreis",DE139,Lörrach,,,,
Lüchow-Dannenberg,LK Lüchow-Dannenberg,Lüchow-Dannenberg LK,"Lüchow-Dannenberg, Landkreis",DE934,Lüchow-Dannenberg,,,,
Ludwigsburg,LK Ludwigsburg,Ludwigsburg LK,"Ludwigsburg, Landkreis",DE115,Ludwigsburg,,,,
Ludwigslust-Parchim,LK Ludwigslust-Parchim,Ludwigslust-Parchim LK,"Ludwigslust-Parchim, Landkreis",DE80O,Ludwigslust-Parchim,,,,
Lüneburg,LK Lüneburg,Lüneburg LK,"Lüneburg, Landkreis",DE935,"Lüneburg, Landkreis",,,,
Main-Kinzig-Kreis,LK Main-Kinzig-Kreis,Main-Kinzig-Kreis LK,Main-Kinzig-Kreis,DE719,Main-Kinzig-Kreis,,,,
Main-Spessart,LK Main-Spessart,Main-Spessart LK,"Main-Spessart, Landkreis",DE26A,Main-Spessart,,,,
Main-Tauber-Kreis,LK Main-Tauber-Kreis,Main-Tauber-Kreis LK,Main-Tauber-Kreis,DE11B,Main-Tauber-Kreis,,,,
Main-Taunus-Kreis,LK Main-Taunus-Kreis,Main-Taunus-Kreis LK,Main-Taunus-Kreis,DE71A,Main-Taunus-Kreis,,,,
Mainz-Bingen,LK Mainz-Bingen,Mainz-Bingen LK,"Mainz-Bingen, Landkreis",DEB3J,Mainz-Bingen,,,,
Mansfeld-Südharz,LK Mansfeld-Südharz,Mansfeld-Südharz LK,"Mansfeld-Südharz, Landkreis",DEE0A,Mansfeld-Südharz,,,,
Marburg-Biedenkopf,LK Marburg-Biedenkopf,Marburg-Biedenkopf LK,"Marburg-Biedenkopf, Landkreis",DE724,Marburg-Biedenkopf,,,,
Märkisch-Oderland,LK Märkisch-Oderland,Märkisch-Oderland LK,"Märkisch-Oderland, Landkreis",DE409,Märkisch-Oderland,,,,
