ds,bing_tiles_visited,single_tile_users,driving,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,#cases,bing_tiles_visited t-1,single_tile_users t-1,driving t-1,retail_and_recreation t-1,grocery_and_pharmacy t-1,parks t-1,transit_stations t-1,workplaces t-1,residential t-1,bing_tiles_visited t-2,single_tile_users t-2,driving t-2,retail_and_recreation t-2,grocery_and_pharmacy t-2,parks t-2,transit_stations t-2,workplaces t-2,residential t-2,bing_tiles_visited t-3,single_tile_users t-3,driving t-3,retail_and_recreation t-3,grocery_and_pharmacy t-3,parks t-3,transit_stations t-3,workplaces t-3,residential t-3,bing_tiles_visited t-4,single_tile_users t-4,driving t-4,retail_and_recreation t-4,grocery_and_pharmacy t-4,parks t-4,transit_stations t-4,workplaces t-4,residential t-4,bing_tiles_visited t-5,single_tile_users t-5,driving t-5,retail_and_recreation t-5,grocery_and_pharmacy t-5,parks t-5,transit_stations t-5,workplaces t-5,residential t-5,bing_tiles_visited t-6,single_tile_users t-6,driving t-6,retail_and_recreation t-6,grocery_and_pharmacy t-6,parks t-6,transit_stations t-6,workplaces t-6,residential t-6,bing_tiles_visited t-7,single_tile_users t-7,driving t-7,retail_and_recreation t-7,grocery_and_pharmacy t-7,parks t-7,transit_stations t-7,workplaces t-7,residential t-7,bing_tiles_visited t-8,single_tile_users t-8,driving t-8,retail_and_recreation t-8,grocery_and_pharmacy t-8,parks t-8,transit_stations t-8,workplaces t-8,residential t-8,bing_tiles_visited t-9,single_tile_users t-9,driving t-9,retail_and_recreation t-9,grocery_and_pharmacy t-9,parks t-9,transit_stations t-9,workplaces t-9,residential t-9,bing_tiles_visited t-10,single_tile_users t-10,driving t-10,retail_and_recreation t-10,grocery_and_pharmacy t-10,parks t-10,transit_stations t-10,workplaces t-10,residential t-10,state
2020-05-05,-0.06902,0.21463000000000002,86.41,-27.0,-5.0,6.0,-28.0,-17.0,7.0,17.0,-0.08900000000000001,0.22601,84.77,-22.0,-2.0,-19.0,-30.0,-20.0,7.0,-0.1289,0.4293,79.77,-52.0,-4.0,16.0,-35.0,-1.0,3.0,-0.17290999999999998,0.29248,65.61,-39.0,9.0,-16.0,-40.0,-9.0,6.0,-0.47600000000000003,0.39255,69.46,-79.0,-92.0,49.0,-61.0,-79.0,24.0,-0.03893,0.20119,76.05,-23.0,20.0,-3.0,-28.0,-23.0,7.0,-0.07994,0.22562,78.66,-37.0,3.0,33.0,-32.0,-22.0,8.0,-0.09533,0.22665,78.76,-40.0,-9.0,40.0,-35.0,-21.0,8.0,-0.09105,0.21597,76.98,-36.0,-11.0,61.0,-33.0,-21.0,7.0,-0.07995,0.39533,73.57,-43.0,3.0,67.0,-36.0,4.0,2.0,-0.18529,0.29816,59.07,-56.0,-12.0,30.0,-42.0,-7.0,6.0,Sachsen-Anhalt
2020-05-06,-0.03374,0.20634,87.41,-25.0,-5.0,39.0,-22.0,-15.0,6.0,13.0,-0.06902,0.21463000000000002,86.41,-27.0,-5.0,6.0,-28.0,-17.0,7.0,-0.08900000000000001,0.22601,84.77,-22.0,-2.0,-19.0,-30.0,-20.0,7.0,-0.1289,0.4293,79.77,-52.0,-4.0,16.0,-35.0,-1.0,3.0,-0.17290999999999998,0.29248,65.61,-39.0,9.0,-16.0,-40.0,-9.0,6.0,-0.47600000000000003,0.39255,69.46,-79.0,-92.0,49.0,-61.0,-79.0,24.0,-0.03893,0.20119,76.05,-23.0,20.0,-3.0,-28.0,-23.0,7.0,-0.07994,0.22562,78.66,-37.0,3.0,33.0,-32.0,-22.0,8.0,-0.09533,0.22665,78.76,-40.0,-9.0,40.0,-35.0,-21.0,8.0,-0.09105,0.21597,76.98,-36.0,-11.0,61.0,-33.0,-21.0,7.0,-0.07995,0.39533,73.57,-43.0,3.0,67.0,-36.0,4.0,2.0,Sachsen-Anhalt
2020-05-07,-0.04045,0.19775,90.35,-23.0,-3.0,30.0,-24.0,-15.0,6.0,4.0,-0.03374,0.20634,87.41,-25.0,-5.0,39.0,-22.0,-15.0,6.0,-0.06902,0.21463000000000002,86.41,-27.0,-5.0,6.0,-28.0,-17.0,7.0,-0.08900000000000001,0.22601,84.77,-22.0,-2.0,-19.0,-30.0,-20.0,7.0,-0.1289,0.4293,79.77,-52.0,-4.0,16.0,-35.0,-1.0,3.0,-0.17290999999999998,0.29248,65.61,-39.0,9.0,-16.0,-40.0,-9.0,6.0,-0.47600000000000003,0.39255,69.46,-79.0,-92.0,49.0,-61.0,-79.0,24.0,-0.03893,0.20119,76.05,-23.0,20.0,-3.0,-28.0,-23.0,7.0,-0.07994,0.22562,78.66,-37.0,3.0,33.0,-32.0,-22.0,8.0,-0.09533,0.22665,78.76,-40.0,-9.0,40.0,-35.0,-21.0,8.0,-0.09105,0.21597,76.98,-36.0,-11.0,61.0,-33.0,-21.0,7.0,Sachsen-Anhalt
2020-05-08,-0.040139999999999995,0.19219,93.71,-24.0,-3.0,48.0,-25.0,-15.0,6.0,4.0,-0.04045,0.19775,90.35,-23.0,-3.0,30.0,-24.0,-15.0,6.0,-0.03374,0.20634,87.41,-25.0,-5.0,39.0,-22.0,-15.0,6.0,-0.06902,0.21463000000000002,86.41,-27.0,-5.0,6.0,-28.0,-17.0,7.0,-0.08900000000000001,0.22601,84.77,-22.0,-2.0,-19.0,-30.0,-20.0,7.0,-0.1289,0.4293,79.77,-52.0,-4.0,16.0,-35.0,-1.0,3.0,-0.17290999999999998,0.29248,65.61,-39.0,9.0,-16.0,-40.0,-9.0,6.0,-0.47600000000000003,0.39255,69.46,-79.0,-92.0,49.0,-61.0,-79.0,24.0,-0.03893,0.20119,76.05,-23.0,20.0,-3.0,-28.0,-23.0,7.0,-0.07994,0.22562,78.66,-37.0,3.0,33.0,-32.0,-22.0,8.0,-0.09533,0.22665,78.76,-40.0,-9.0,40.0,-35.0,-21.0,8.0,Sachsen-Anhalt
2020-05-09,-0.032010000000000004,0.24131,82.7,-33.0,0.0,80.0,-21.0,10.0,1.0,3.0,-0.040139999999999995,0.19219,93.71,-24.0,-3.0,48.0,-25.0,-15.0,6.0,-0.04045,0.19775,90.35,-23.0,-3.0,30.0,-24.0,-15.0,6.0,-0.03374,0.20634,87.41,-25.0,-5.0,39.0,-22.0,-15.0,6.0,-0.06902,0.21463000000000002,86.41,-27.0,-5.0,6.0,-28.0,-17.0,7.0,-0.08900000000000001,0.22601,84.77,-22.0,-2.0,-19.0,-30.0,-20.0,7.0,-0.1289,0.4293,79.77,-52.0,-4.0,16.0,-35.0,-1.0,3.0,-0.17290999999999998,0.29248,65.61,-39.0,9.0,-16.0,-40.0,-9.0,6.0,-0.47600000000000003,0.39255,69.46,-79.0,-92.0,49.0,-61.0,-79.0,24.0,-0.03893,0.20119,76.05,-23.0,20.0,-3.0,-28.0,-23.0,7.0,-0.07994,0.22562,78.66,-37.0,3.0,33.0,-32.0,-22.0,8.0,Sachsen-Anhalt
2020-05-10,0.037380000000000004,0.34619,87.2,-41.0,21.0,24.0,-25.0,15.0,0.0,2.0,-0.032010000000000004,0.24131,82.7,-33.0,0.0,80.0,-21.0,10.0,1.0,-0.040139999999999995,0.19219,93.71,-24.0,-3.0,48.0,-25.0,-15.0,6.0,-0.04045,0.19775,90.35,-23.0,-3.0,30.0,-24.0,-15.0,6.0,-0.03374,0.20634,87.41,-25.0,-5.0,39.0,-22.0,-15.0,6.0,-0.06902,0.21463000000000002,86.41,-27.0,-5.0,6.0,-28.0,-17.0,7.0,-0.08900000000000001,0.22601,84.77,-22.0,-2.0,-19.0,-30.0,-20.0,7.0,-0.1289,0.4293,79.77,-52.0,-4.0,16.0,-35.0,-1.0,3.0,-0.17290999999999998,0.29248,65.61,-39.0,9.0,-16.0,-40.0,-9.0,6.0,-0.47600000000000003,0.39255,69.46,-79.0,-92.0,49.0,-61.0,-79.0,24.0,-0.03893,0.20119,76.05,-23.0,20.0,-3.0,-28.0,-23.0,7.0,Sachsen-Anhalt
2020-05-23,-0.09832,0.27721,103.05,-29.0,-6.0,55.0,-26.0,2.0,3.0,0.0,-0.14538,0.21665,109.05,-18.0,-6.0,71.0,-38.0,-51.0,12.0,-0.30817,0.30364,112.17,-61.0,-89.0,253.0,-32.0,-76.0,14.0,0.0715,0.1822,129.34,0.0,38.0,92.0,-13.0,-23.0,2.0,-0.00059,0.19657,113.36,-11.0,6.0,57.0,-23.0,-22.0,6.0,-0.00182,0.19297999999999998,109.96,-5.0,2.0,61.0,-23.0,-22.0,5.0,0.04887,0.36129,104.34,-34.0,18.0,76.0,-20.0,16.0,0.0,-0.05089,0.25231,88.44,-32.0,-4.0,61.0,-22.0,8.0,2.0,-0.025330000000000002,0.19342,105.73,-22.0,-3.0,37.0,-23.0,-15.0,6.0,-0.0403,0.2049,99.74,-22.0,-2.0,18.0,-23.0,-16.0,5.0,-0.04198,0.2101,96.11,-24.0,-4.0,27.0,-22.0,-15.0,6.0,Sachsen-Anhalt
2020-05-24,-0.03372,0.40289,129.09,-37.0,-1.0,22.0,-21.0,7.0,1.0,2.0,-0.09832,0.27721,103.05,-29.0,-6.0,55.0,-26.0,2.0,3.0,-0.14538,0.21665,109.05,-18.0,-6.0,71.0,-38.0,-51.0,12.0,-0.30817,0.30364,112.17,-61.0,-89.0,253.0,-32.0,-76.0,14.0,0.0715,0.1822,129.34,0.0,38.0,92.0,-13.0,-23.0,2.0,-0.00059,0.19657,113.36,-11.0,6.0,57.0,-23.0,-22.0,6.0,-0.00182,0.19297999999999998,109.96,-5.0,2.0,61.0,-23.0,-22.0,5.0,0.04887,0.36129,104.34,-34.0,18.0,76.0,-20.0,16.0,0.0,-0.05089,0.25231,88.44,-32.0,-4.0,61.0,-22.0,8.0,2.0,-0.025330000000000002,0.19342,105.73,-22.0,-3.0,37.0,-23.0,-15.0,6.0,-0.0403,0.2049,99.74,-22.0,-2.0,18.0,-23.0,-16.0,5.0,Sachsen-Anhalt
2020-05-25,-0.034839999999999996,0.21464,117.63,-10.0,1.0,20.0,-26.0,-27.0,6.0,2.0,-0.03372,0.40289,129.09,-37.0,-1.0,22.0,-21.0,7.0,1.0,-0.09832,0.27721,103.05,-29.0,-6.0,55.0,-26.0,2.0,3.0,-0.14538,0.21665,109.05,-18.0,-6.0,71.0,-38.0,-51.0,12.0,-0.30817,0.30364,112.17,-61.0,-89.0,253.0,-32.0,-76.0,14.0,0.0715,0.1822,129.34,0.0,38.0,92.0,-13.0,-23.0,2.0,-0.00059,0.19657,113.36,-11.0,6.0,57.0,-23.0,-22.0,6.0,-0.00182,0.19297999999999998,109.96,-5.0,2.0,61.0,-23.0,-22.0,5.0,0.04887,0.36129,104.34,-34.0,18.0,76.0,-20.0,16.0,0.0,-0.05089,0.25231,88.44,-32.0,-4.0,61.0,-22.0,8.0,2.0,-0.025330000000000002,0.19342,105.73,-22.0,-3.0,37.0,-23.0,-15.0,6.0,Sachsen-Anhalt
2020-05-26,-0.02102,0.19610999999999998,116.19,-15.0,-6.0,63.0,-24.0,-22.0,6.0,1.0,-0.034839999999999996,0.21464,117.63,-10.0,1.0,20.0,-26.0,-27.0,6.0,-0.03372,0.40289,129.09,-37.0,-1.0,22.0,-21.0,7.0,1.0,-0.09832,0.27721,103.05,-29.0,-6.0,55.0,-26.0,2.0,3.0,-0.14538,0.21665,109.05,-18.0,-6.0,71.0,-38.0,-51.0,12.0,-0.30817,0.30364,112.17,-61.0,-89.0,253.0,-32.0,-76.0,14.0,0.0715,0.1822,129.34,0.0,38.0,92.0,-13.0,-23.0,2.0,-0.00059,0.19657,113.36,-11.0,6.0,57.0,-23.0,-22.0,6.0,-0.00182,0.19297999999999998,109.96,-5.0,2.0,61.0,-23.0,-22.0,5.0,0.04887,0.36129,104.34,-34.0,18.0,76.0,-20.0,16.0,0.0,-0.05089,0.25231,88.44,-32.0,-4.0,61.0,-22.0,8.0,2.0,Sachsen-Anhalt
2020-05-27,0.01108,0.19146,118.52,-14.0,-5.0,86.0,-21.0,-22.0,4.0,1.0,-0.02102,0.19610999999999998,116.19,-15.0,-6.0,63.0,-24.0,-22.0,6.0,-0.034839999999999996,0.21464,117.63,-10.0,1.0,20.0,-26.0,-27.0,6.0,-0.03372,0.40289,129.09,-37.0,-1.0,22.0,-21.0,7.0,1.0,-0.09832,0.27721,103.05,-29.0,-6.0,55.0,-26.0,2.0,3.0,-0.14538,0.21665,109.05,-18.0,-6.0,71.0,-38.0,-51.0,12.0,-0.30817,0.30364,112.17,-61.0,-89.0,253.0,-32.0,-76.0,14.0,0.0715,0.1822,129.34,0.0,38.0,92.0,-13.0,-23.0,2.0,-0.00059,0.19657,113.36,-11.0,6.0,57.0,-23.0,-22.0,6.0,-0.00182,0.19297999999999998,109.96,-5.0,2.0,61.0,-23.0,-22.0,5.0,0.04887,0.36129,104.34,-34.0,18.0,76.0,-20.0,16.0,0.0,Sachsen-Anhalt
2020-05-28,0.01594,0.1848,124.76,-11.0,1.0,63.0,-19.0,-22.0,4.0,4.0,0.01108,0.19146,118.52,-14.0,-5.0,86.0,-21.0,-22.0,4.0,-0.02102,0.19610999999999998,116.19,-15.0,-6.0,63.0,-24.0,-22.0,6.0,-0.034839999999999996,0.21464,117.63,-10.0,1.0,20.0,-26.0,-27.0,6.0,-0.03372,0.40289,129.09,-37.0,-1.0,22.0,-21.0,7.0,1.0,-0.09832,0.27721,103.05,-29.0,-6.0,55.0,-26.0,2.0,3.0,-0.14538,0.21665,109.05,-18.0,-6.0,71.0,-38.0,-51.0,12.0,-0.30817,0.30364,112.17,-61.0,-89.0,253.0,-32.0,-76.0,14.0,0.0715,0.1822,129.34,0.0,38.0,92.0,-13.0,-23.0,2.0,-0.00059,0.19657,113.36,-11.0,6.0,57.0,-23.0,-22.0,6.0,-0.00182,0.19297999999999998,109.96,-5.0,2.0,61.0,-23.0,-22.0,5.0,Sachsen-Anhalt
2020-05-29,0.05095,0.17251,149.2,-11.0,2.0,82.0,-16.0,-23.0,4.0,2.0,0.01594,0.1848,124.76,-11.0,1.0,63.0,-19.0,-22.0,4.0,0.01108,0.19146,118.52,-14.0,-5.0,86.0,-21.0,-22.0,4.0,-0.02102,0.19610999999999998,116.19,-15.0,-6.0,63.0,-24.0,-22.0,6.0,-0.034839999999999996,0.21464,117.63,-10.0,1.0,20.0,-26.0,-27.0,6.0,-0.03372,0.40289,129.09,-37.0,-1.0,22.0,-21.0,7.0,1.0,-0.09832,0.27721,103.05,-29.0,-6.0,55.0,-26.0,2.0,3.0,-0.14538,0.21665,109.05,-18.0,-6.0,71.0,-38.0,-51.0,12.0,-0.30817,0.30364,112.17,-61.0,-89.0,253.0,-32.0,-76.0,14.0,0.0715,0.1822,129.34,0.0,38.0,92.0,-13.0,-23.0,2.0,-0.00059,0.19657,113.36,-11.0,6.0,57.0,-23.0,-22.0,6.0,Sachsen-Anhalt
2020-05-30,0.07178999999999999,0.222,131.37,-20.0,6.0,116.0,-6.0,15.0,-1.0,2.0,0.05095,0.17251,149.2,-11.0,2.0,82.0,-16.0,-23.0,4.0,0.01594,0.1848,124.76,-11.0,1.0,63.0,-19.0,-22.0,4.0,0.01108,0.19146,118.52,-14.0,-5.0,86.0,-21.0,-22.0,4.0,-0.02102,0.19610999999999998,116.19,-15.0,-6.0,63.0,-24.0,-22.0,6.0,-0.034839999999999996,0.21464,117.63,-10.0,1.0,20.0,-26.0,-27.0,6.0,-0.03372,0.40289,129.09,-37.0,-1.0,22.0,-21.0,7.0,1.0,-0.09832,0.27721,103.05,-29.0,-6.0,55.0,-26.0,2.0,3.0,-0.14538,0.21665,109.05,-18.0,-6.0,71.0,-38.0,-51.0,12.0,-0.30817,0.30364,112.17,-61.0,-89.0,253.0,-32.0,-76.0,14.0,0.0715,0.1822,129.34,0.0,38.0,92.0,-13.0,-23.0,2.0,Sachsen-Anhalt
2020-05-31,0.16652,0.31784,133.38,2.0,37.0,165.0,-1.0,24.0,-4.0,2.0,0.07178999999999999,0.222,131.37,-20.0,6.0,116.0,-6.0,15.0,-1.0,0.05095,0.17251,149.2,-11.0,2.0,82.0,-16.0,-23.0,4.0,0.01594,0.1848,124.76,-11.0,1.0,63.0,-19.0,-22.0,4.0,0.01108,0.19146,118.52,-14.0,-5.0,86.0,-21.0,-22.0,4.0,-0.02102,0.19610999999999998,116.19,-15.0,-6.0,63.0,-24.0,-22.0,6.0,-0.034839999999999996,0.21464,117.63,-10.0,1.0,20.0,-26.0,-27.0,6.0,-0.03372,0.40289,129.09,-37.0,-1.0,22.0,-21.0,7.0,1.0,-0.09832,0.27721,103.05,-29.0,-6.0,55.0,-26.0,2.0,3.0,-0.14538,0.21665,109.05,-18.0,-6.0,71.0,-38.0,-51.0,12.0,-0.30817,0.30364,112.17,-61.0,-89.0,253.0,-32.0,-76.0,14.0,Sachsen-Anhalt
2020-06-01,-0.2846,0.2983,167.18,-46.0,-89.0,258.0,-29.0,-75.0,14.0,2.0,0.16652,0.31784,133.38,2.0,37.0,165.0,-1.0,24.0,-4.0,0.07178999999999999,0.222,131.37,-20.0,6.0,116.0,-6.0,15.0,-1.0,0.05095,0.17251,149.2,-11.0,2.0,82.0,-16.0,-23.0,4.0,0.01594,0.1848,124.76,-11.0,1.0,63.0,-19.0,-22.0,4.0,0.01108,0.19146,118.52,-14.0,-5.0,86.0,-21.0,-22.0,4.0,-0.02102,0.19610999999999998,116.19,-15.0,-6.0,63.0,-24.0,-22.0,6.0,-0.034839999999999996,0.21464,117.63,-10.0,1.0,20.0,-26.0,-27.0,6.0,-0.03372,0.40289,129.09,-37.0,-1.0,22.0,-21.0,7.0,1.0,-0.09832,0.27721,103.05,-29.0,-6.0,55.0,-26.0,2.0,3.0,-0.14538,0.21665,109.05,-18.0,-6.0,71.0,-38.0,-51.0,12.0,Sachsen-Anhalt
2020-06-02,0.12165999999999999,0.16017,135.78,-3.0,14.0,92.0,-7.0,-12.0,1.0,4.0,-0.2846,0.2983,167.18,-46.0,-89.0,258.0,-29.0,-75.0,14.0,0.16652,0.31784,133.38,2.0,37.0,165.0,-1.0,24.0,-4.0,0.07178999999999999,0.222,131.37,-20.0,6.0,116.0,-6.0,15.0,-1.0,0.05095,0.17251,149.2,-11.0,2.0,82.0,-16.0,-23.0,4.0,0.01594,0.1848,124.76,-11.0,1.0,63.0,-19.0,-22.0,4.0,0.01108,0.19146,118.52,-14.0,-5.0,86.0,-21.0,-22.0,4.0,-0.02102,0.19610999999999998,116.19,-15.0,-6.0,63.0,-24.0,-22.0,6.0,-0.034839999999999996,0.21464,117.63,-10.0,1.0,20.0,-26.0,-27.0,6.0,-0.03372,0.40289,129.09,-37.0,-1.0,22.0,-21.0,7.0,1.0,-0.09832,0.27721,103.05,-29.0,-6.0,55.0,-26.0,2.0,3.0,Sachsen-Anhalt
2020-06-03,0.057929999999999995,0.18373,127.12,-11.0,-1.0,65.0,-10.0,-13.0,3.0,3.0,0.12165999999999999,0.16017,135.78,-3.0,14.0,92.0,-7.0,-12.0,1.0,-0.2846,0.2983,167.18,-46.0,-89.0,258.0,-29.0,-75.0,14.0,0.16652,0.31784,133.38,2.0,37.0,165.0,-1.0,24.0,-4.0,0.07178999999999999,0.222,131.37,-20.0,6.0,116.0,-6.0,15.0,-1.0,0.05095,0.17251,149.2,-11.0,2.0,82.0,-16.0,-23.0,4.0,0.01594,0.1848,124.76,-11.0,1.0,63.0,-19.0,-22.0,4.0,0.01108,0.19146,118.52,-14.0,-5.0,86.0,-21.0,-22.0,4.0,-0.02102,0.19610999999999998,116.19,-15.0,-6.0,63.0,-24.0,-22.0,6.0,-0.034839999999999996,0.21464,117.63,-10.0,1.0,20.0,-26.0,-27.0,6.0,-0.03372,0.40289,129.09,-37.0,-1.0,22.0,-21.0,7.0,1.0,Sachsen-Anhalt
2020-06-04,0.01138,0.18863,129.8,-13.0,0.0,20.0,-14.0,-15.0,4.0,1.0,0.057929999999999995,0.18373,127.12,-11.0,-1.0,65.0,-10.0,-13.0,3.0,0.12165999999999999,0.16017,135.78,-3.0,14.0,92.0,-7.0,-12.0,1.0,-0.2846,0.2983,167.18,-46.0,-89.0,258.0,-29.0,-75.0,14.0,0.16652,0.31784,133.38,2.0,37.0,165.0,-1.0,24.0,-4.0,0.07178999999999999,0.222,131.37,-20.0,6.0,116.0,-6.0,15.0,-1.0,0.05095,0.17251,149.2,-11.0,2.0,82.0,-16.0,-23.0,4.0,0.01594,0.1848,124.76,-11.0,1.0,63.0,-19.0,-22.0,4.0,0.01108,0.19146,118.52,-14.0,-5.0,86.0,-21.0,-22.0,4.0,-0.02102,0.19610999999999998,116.19,-15.0,-6.0,63.0,-24.0,-22.0,6.0,-0.034839999999999996,0.21464,117.63,-10.0,1.0,20.0,-26.0,-27.0,6.0,Sachsen-Anhalt
2020-06-05,-0.00352,0.18583,133.3,-12.0,-2.0,38.0,-15.0,-14.0,4.0,3.0,0.01138,0.18863,129.8,-13.0,0.0,20.0,-14.0,-15.0,4.0,0.057929999999999995,0.18373,127.12,-11.0,-1.0,65.0,-10.0,-13.0,3.0,0.12165999999999999,0.16017,135.78,-3.0,14.0,92.0,-7.0,-12.0,1.0,-0.2846,0.2983,167.18,-46.0,-89.0,258.0,-29.0,-75.0,14.0,0.16652,0.31784,133.38,2.0,37.0,165.0,-1.0,24.0,-4.0,0.07178999999999999,0.222,131.37,-20.0,6.0,116.0,-6.0,15.0,-1.0,0.05095,0.17251,149.2,-11.0,2.0,82.0,-16.0,-23.0,4.0,0.01594,0.1848,124.76,-11.0,1.0,63.0,-19.0,-22.0,4.0,0.01108,0.19146,118.52,-14.0,-5.0,86.0,-21.0,-22.0,4.0,-0.02102,0.19610999999999998,116.19,-15.0,-6.0,63.0,-24.0,-22.0,6.0,Sachsen-Anhalt
2020-06-06,-0.03694,0.25375,125.87,-21.0,-3.0,65.0,-13.0,12.0,1.0,1.0,-0.00352,0.18583,133.3,-12.0,-2.0,38.0,-15.0,-14.0,4.0,0.01138,0.18863,129.8,-13.0,0.0,20.0,-14.0,-15.0,4.0,0.057929999999999995,0.18373,127.12,-11.0,-1.0,65.0,-10.0,-13.0,3.0,0.12165999999999999,0.16017,135.78,-3.0,14.0,92.0,-7.0,-12.0,1.0,-0.2846,0.2983,167.18,-46.0,-89.0,258.0,-29.0,-75.0,14.0,0.16652,0.31784,133.38,2.0,37.0,165.0,-1.0,24.0,-4.0,0.07178999999999999,0.222,131.37,-20.0,6.0,116.0,-6.0,15.0,-1.0,0.05095,0.17251,149.2,-11.0,2.0,82.0,-16.0,-23.0,4.0,0.01594,0.1848,124.76,-11.0,1.0,63.0,-19.0,-22.0,4.0,0.01108,0.19146,118.52,-14.0,-5.0,86.0,-21.0,-22.0,4.0,Sachsen-Anhalt
2020-06-07,0.058089999999999996,0.36277,138.26,-14.0,16.0,74.0,-8.0,21.0,-1.0,0.0,-0.03694,0.25375,125.87,-21.0,-3.0,65.0,-13.0,12.0,1.0,-0.00352,0.18583,133.3,-12.0,-2.0,38.0,-15.0,-14.0,4.0,0.01138,0.18863,129.8,-13.0,0.0,20.0,-14.0,-15.0,4.0,0.057929999999999995,0.18373,127.12,-11.0,-1.0,65.0,-10.0,-13.0,3.0,0.12165999999999999,0.16017,135.78,-3.0,14.0,92.0,-7.0,-12.0,1.0,-0.2846,0.2983,167.18,-46.0,-89.0,258.0,-29.0,-75.0,14.0,0.16652,0.31784,133.38,2.0,37.0,165.0,-1.0,24.0,-4.0,0.07178999999999999,0.222,131.37,-20.0,6.0,116.0,-6.0,15.0,-1.0,0.05095,0.17251,149.2,-11.0,2.0,82.0,-16.0,-23.0,4.0,0.01594,0.1848,124.76,-11.0,1.0,63.0,-19.0,-22.0,4.0,Sachsen-Anhalt
2020-06-08,0.04331,0.17282,131.26,-4.0,-1.0,68.0,-11.0,-12.0,2.0,8.0,0.058089999999999996,0.36277,138.26,-14.0,16.0,74.0,-8.0,21.0,-1.0,-0.03694,0.25375,125.87,-21.0,-3.0,65.0,-13.0,12.0,1.0,-0.00352,0.18583,133.3,-12.0,-2.0,38.0,-15.0,-14.0,4.0,0.01138,0.18863,129.8,-13.0,0.0,20.0,-14.0,-15.0,4.0,0.057929999999999995,0.18373,127.12,-11.0,-1.0,65.0,-10.0,-13.0,3.0,0.12165999999999999,0.16017,135.78,-3.0,14.0,92.0,-7.0,-12.0,1.0,-0.2846,0.2983,167.18,-46.0,-89.0,258.0,-29.0,-75.0,14.0,0.16652,0.31784,133.38,2.0,37.0,165.0,-1.0,24.0,-4.0,0.07178999999999999,0.222,131.37,-20.0,6.0,116.0,-6.0,15.0,-1.0,0.05095,0.17251,149.2,-11.0,2.0,82.0,-16.0,-23.0,4.0,Sachsen-Anhalt
2020-06-09,0.03345,0.17631,134.33,-10.0,-3.0,71.0,-12.0,-12.0,3.0,6.0,0.04331,0.17282,131.26,-4.0,-1.0,68.0,-11.0,-12.0,2.0,0.058089999999999996,0.36277,138.26,-14.0,16.0,74.0,-8.0,21.0,-1.0,-0.03694,0.25375,125.87,-21.0,-3.0,65.0,-13.0,12.0,1.0,-0.00352,0.18583,133.3,-12.0,-2.0,38.0,-15.0,-14.0,4.0,0.01138,0.18863,129.8,-13.0,0.0,20.0,-14.0,-15.0,4.0,0.057929999999999995,0.18373,127.12,-11.0,-1.0,65.0,-10.0,-13.0,3.0,0.12165999999999999,0.16017,135.78,-3.0,14.0,92.0,-7.0,-12.0,1.0,-0.2846,0.2983,167.18,-46.0,-89.0,258.0,-29.0,-75.0,14.0,0.16652,0.31784,133.38,2.0,37.0,165.0,-1.0,24.0,-4.0,0.07178999999999999,0.222,131.37,-20.0,6.0,116.0,-6.0,15.0,-1.0,Sachsen-Anhalt
2020-06-10,0.059910000000000005,0.17826,138.08,-7.0,-2.0,84.0,-8.0,-12.0,2.0,2.0,0.03345,0.17631,134.33,-10.0,-3.0,71.0,-12.0,-12.0,3.0,0.04331,0.17282,131.26,-4.0,-1.0,68.0,-11.0,-12.0,2.0,0.058089999999999996,0.36277,138.26,-14.0,16.0,74.0,-8.0,21.0,-1.0,-0.03694,0.25375,125.87,-21.0,-3.0,65.0,-13.0,12.0,1.0,-0.00352,0.18583,133.3,-12.0,-2.0,38.0,-15.0,-14.0,4.0,0.01138,0.18863,129.8,-13.0,0.0,20.0,-14.0,-15.0,4.0,0.057929999999999995,0.18373,127.12,-11.0,-1.0,65.0,-10.0,-13.0,3.0,0.12165999999999999,0.16017,135.78,-3.0,14.0,92.0,-7.0,-12.0,1.0,-0.2846,0.2983,167.18,-46.0,-89.0,258.0,-29.0,-75.0,14.0,0.16652,0.31784,133.38,2.0,37.0,165.0,-1.0,24.0,-4.0,Sachsen-Anhalt
2020-06-11,0.02461,0.18148,166.02,-6.0,0.0,70.0,-10.0,-14.0,3.0,6.0,0.059910000000000005,0.17826,138.08,-7.0,-2.0,84.0,-8.0,-12.0,2.0,0.03345,0.17631,134.33,-10.0,-3.0,71.0,-12.0,-12.0,3.0,0.04331,0.17282,131.26,-4.0,-1.0,68.0,-11.0,-12.0,2.0,0.058089999999999996,0.36277,138.26,-14.0,16.0,74.0,-8.0,21.0,-1.0,-0.03694,0.25375,125.87,-21.0,-3.0,65.0,-13.0,12.0,1.0,-0.00352,0.18583,133.3,-12.0,-2.0,38.0,-15.0,-14.0,4.0,0.01138,0.18863,129.8,-13.0,0.0,20.0,-14.0,-15.0,4.0,0.057929999999999995,0.18373,127.12,-11.0,-1.0,65.0,-10.0,-13.0,3.0,0.12165999999999999,0.16017,135.78,-3.0,14.0,92.0,-7.0,-12.0,1.0,-0.2846,0.2983,167.18,-46.0,-89.0,258.0,-29.0,-75.0,14.0,Sachsen-Anhalt
